generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,4,1
3000,1,2,1
4000,1,4,1
5000,3,4,1
6000,2,3,1
7000,1,3,1
8000,1,4,1
9000,1,3,1
10000,1,4,1
11000,1,2,1
12000,1,2,1
13000,1,3,1
14000,2,4,1
15000,2,4,1
16000,1,3,1
17000,2,4,1
18000,1,3,1
19000,1,3,1
20000,1,2,1
21000,1,2,1
22000,3,4,1
23000,1,3,1
24000,1,4,1
25000,2,3,1
26000,1,4,1
27000,1,3,1
28000,3,4,1
29000,1,2,1
30000,2,3,1
31000,3,4,1
32000,3,4,1
33000,2,4,1
34000,2,3,1
35000,2,3,1
36000,1,4,1
37000,2,3,1
38000,1,4,1
39000,3,4,1
40000,2,4,1
41000,2,3,1
42000,3,4,0
43000,1,3,1
44000,3,4,1
45000,2,4,1
46000,1,4,1
47000,3,4,1
48000,1,4,0
49000,2,3,1
50000,3,4,1
51000,1,3,0
52000,2,4,1
53000,2,3,1
54000,2,3,1
55000,1,3,1
56000,3,4,0
57000,2,3,1
58000,3,4,1
59000,3,4,1
60000,2,4,1
61000,1,3,1
62000,1,4,1
63000,1,3,0
64000,3,4,1
65000,1,2,1
66000,1,4,0
67000,2,4,1
68000,1,4,1
69000,1,2,1
70000,1,2,1
71000,1,4,1
72000,2,4,1
73000,1,3,1
74000,2,4,0
75000,3,4,1
76000,3,4,1
77000,3,4,1
78000,1,4,0
79000,3,4,1
80000,1,2,0
81000,1,2,0
82000,1,3,1
83000,1,3,1
84000,3,4,0
85000,3,4,1
86000,3,4,1
87000,2,4,0
88000,1,4,0
89000,2,4,0
90000,2,4,0
91000,1,4,0
92000,1,2,1
93000,2,4,0
94000,2,3,1
95000,3,4,0
96000,3,4,0
97000,1,2,1
98000,2,3,1
99000,3,4,0
100000,1,4,0
101000,1,2,1
102000,2,4,1
103000,1,4,1
104000,1,3,1
105000,1,3,1
106000,2,3,1
107000,1,4,1
108000,2,4,1
109000,2,4,1
110000,2,3,1
111000,1,2,0
112000,1,4,1
113000,3,4,1
114000,2,3,1
115000,2,4,1
116000,2,3,1
117000,2,3,1
118000,2,3,0
