"nodeShifted" "numTaxa" "from" "to" "numNontaxa" "Lam_mean" "Lam_low95" "Lam_up95" "Lam_nonmean" "Lam_nonlow95" "Lam_nonup95" "Mu_mean" "Mu_low95" "Mu_up95" "Mu_nonmean" "Mu_nonlow95" "Mu_nonup95"
"1" 5918 5544 "Solenodon_paradoxus_SOLENODONTIDAE_EULIPOTYPHLA" "Chrysochloris_asiatica_CHRYSOCHLORIDAE_AFROSORICIDA" 367 0.210653182629962 0.198690836256811 0.222603326892768 0.179526974717681 0.155595732551391 0.215036720253146 0.0571417225684146 0.0385050331284565 0.0760141965243444 0.0399663329879835 0.0104299233905262 0.092072158799978
"2" 8855 2483 "Glirulus_japonicus_GLIRIDAE_RODENTIA" "Pronolagus_crassicaudatus_LEPORIDAE_LAGOMORPHA" 3428 0.231546725013059 0.213789910535236 0.251411654288504 0.194832445765183 0.182680874152337 0.208454923794083 0.0561308618335608 0.029051012144692 0.086148900310153 0.0558278418766747 0.0363403562534674 0.0766770120239249
"3" 8399 135 "Nycticebus_javanicus_LORISIDAE_PRIMATES" "Allocebus_trichotis_CHEIROGALEIDAE_PRIMATES" 5776 0.366494146982332 0.253561261416213 0.494253738924539 0.205142984576811 0.193866625154923 0.217088498805594 0.281181293640332 0.14514224411986 0.438162285399587 0.0511892868272082 0.0328164549499921 0.0696218248609323
"4" 11371 17 "Hydrodamalis_gigas_DUGONGIDAE_SIRENIA" "Dendrohyrax_dorsalis_PROCAVIIDAE_HYRACOIDEA" 5894 0.102638593174979 0.0761206207572709 0.140314163909809 0.209123718111546 0.197787450453215 0.220661946840551 0.0396001772085978 0.001217947 0.099430785 0.0560404250736152 0.0378441083342021 0.0739657971200047
"5" 11461 362 "Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA" "Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 5549 0.197013846702318 0.171683712597624 0.233316726365182 0.209231206877454 0.1972866071957 0.22094142866979 0.0380530370799065 0.00685603851694261 0.0957034420117557 0.0571187173911044 0.0386722392623907 0.0757285526870723
"6" 9491 1599 "Spalax_ehrenbergi_SPALACIDAE_RODENTIA" "Platacanthomys_lasiurus_PLATACANTHOMYIDAE_RODENTIA" 4312 0.213303475717369 0.200283977543202 0.230767971163025 0.20696773371987 0.19370125458022 0.22101221003909 0.0203296194260877 0.00696631328350312 0.0425108683807342 0.067068106715834 0.044729822682939 0.0888826852647333
"7" 7173 593 "Chaerephon_solomonis_MOLOSSIDAE_CHIROPTERA" "Scoteanax_rueppellii_VESPERTILIONIDAE_CHIROPTERA" 5318 0.180940081802318 0.162088619694604 0.20936642005278 0.211750177394393 0.199541792648795 0.224598775092159 0.0240765177137221 0.00176106202496872 0.067329103380221 0.0597290344698899 0.0393128858031753 0.079779404491182
"8" 6414 298 "Arctogalidia_trivirgata_VIVERRIDAE_CARNIVORA" "Mydaus_marchei_MEPHITIDAE_CARNIVORA" 5613 0.276657037876436 0.228586381472964 0.331508420966234 0.205658818511398 0.194095109741231 0.217053873389147 0.0994980117329042 0.0167518740950839 0.184388373306775 0.0541405769349443 0.0356761030645484 0.0723712387308003
"9" 8003 180 "Rhinolophus_landeri_RHINOLOPHIDAE_CHIROPTERA" "Hipposideros_maggietaylorae_HIPPOSIDERIDAE_CHIROPTERA" 5731 0.235466451839091 0.192428148012671 0.298797335346943 0.207749576472267 0.196319641538249 0.219492088783307 0.0596051856636272 0.0106246115590152 0.153429660750979 0.0558417932978389 0.0374951571130628 0.0740860703782904
"10" 8543 313 "Callicebus_brunneus_PITHECIIDAE_PRIMATES" "Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES" 5598 0.418185526145463 0.342514479961059 0.510418004188631 0.202259321096888 0.190387084645285 0.214163335488933 0.180216473348764 0.0491674331289806 0.327873925 0.0522562790861163 0.0334410827360472 0.0698540236742059
