"nodeShifted" "numTaxa" "from" "to" "numNontaxa" "Lam_mean" "Lam_low95" "Lam_up95" "Lam_nonmean" "Lam_nonlow95" "Lam_nonup95" "Mu_mean" "Mu_low95" "Mu_up95" "Mu_nonmean" "Mu_nonlow95" "Mu_nonup95"
"1" 11461 362 "Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA" "Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 5549 0.190745546449679 0.168391030522204 0.218051506429648 0.196292016734365 0.185662501591923 0.207528422951748 0.0270236442182558 0.00574178395295595 0.0686197211215246 0.0547136314609386 0.037758885591108 0.0707547881979197
"2" 5919 5419 "Neurotrichus_gibbsii_TALPIDAE_EULIPOTYPHLA" "Castor_canadensis_CASTORIDAE_RODENTIA" 492 0.205695875634401 0.194492691488287 0.217736051402557 0.130993300958279 0.113217598248423 0.155012335214038 0.055087194989879 0.0364502535354869 0.07255086007372 0.0398475421437636 0.0159738765538028 0.0697271302107205
"3" 8378 135 "Nycticebus_coucang_LORISIDAE_PRIMATES" "Allocebus_trichotis_CHEIROGALEIDAE_PRIMATES" 5776 0.289176251471647 0.190775223308585 0.38337786741061 0.193686594117054 0.183117800258849 0.204429755625781 0.216362551057824 0.0984592710353768 0.33833458944949 0.0491044458593034 0.0327679866592655 0.0655867642056631
"4" 6412 1287 "Rhinopoma_muscatellum_RHINOPOMATIDAE_CHIROPTERA" "Cistugo_lesueuri_VESPERTILIONIDAE_CHIROPTERA" 4624 0.168542593688675 0.154897291362074 0.184697794346847 0.204706261224823 0.192189706738382 0.218541100823583 0.0331132220052696 0.0138006227581619 0.05893093225744 0.0594707262911236 0.0401541283439855 0.0791225487163667
"5" 9273 298 "Trichys_fasciculata_HYSTRICIDAE_RODENTIA" "Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA" 5613 0.250956402178485 0.203546822628795 0.315050776762751 0.193659506096377 0.182934587042927 0.204786378679936 0.0895708550877561 0.0217868797038246 0.177890142433748 0.0515710137181987 0.0344772118385994 0.0676995892925879
"6" 8522 313 "Cacajao_calvus_PITHECIIDAE_PRIMATES" "Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES" 5598 0.357828688425154 0.291183963765553 0.436164588665592 0.19072235791455 0.179906261285987 0.201249966893486 0.147952210867637 0.0443298676071434 0.264163748929037 0.0500281988260599 0.0340393325874449 0.0659421104448796
"7" 7106 593 "Platymops_setiger_MOLOSSIDAE_CHIROPTERA" "Cistugo_lesueuri_VESPERTILIONIDAE_CHIROPTERA" 5318 0.178078196600415 0.159387068096186 0.204817377898262 0.197973829268469 0.186764972435178 0.209622494439876 0.0231036764781576 0.00157234281378986 0.067657229173193 0.0564639211765899 0.0389335043673285 0.0742993707069211
"8" 9656 1505 "Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA" "Diomys_crumpi_MURIDAE_RODENTIA" 4406 0.211473712462871 0.197153780487156 0.227368128347889 0.191770522874422 0.179285788558321 0.2043997660302 0.0236179326248516 0.00512411360740264 0.0450136685825422 0.0610880486962503 0.0418280896286968 0.0798215550995305
"9" 7707 298 "Vulpes_macrotis_CANIDAE_CARNIVORA" "Caracal_aurata_FELIDAE_CARNIVORA" 5613 0.27063419446139 0.221023719431785 0.330146545263908 0.192969667240842 0.182687317813605 0.203670965088606 0.103234686550246 0.0190220488451919 0.198859218588748 0.0510888648825433 0.0342717004894787 0.0666687512490179
"10" 6425 180 "Rhinolophus_luctus_RHINOLOPHIDAE_CHIROPTERA" "Hipposideros_gigas_HIPPOSIDERIDAE_CHIROPTERA" 5731 0.259431510619197 0.197389596754715 0.347808188018318 0.194362204157019 0.184137141734831 0.205223960622386 0.101000680160144 0.0152947767160696 0.224654456811379 0.0518899349695051 0.0359876651607925 0.0673303906436207
