generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,4,1
3000,3,4,1
4000,2,4,1
5000,2,4,1
6000,3,4,1
7000,3,4,1
8000,1,3,1
9000,3,4,1
10000,1,4,1
11000,2,4,1
12000,1,2,1
13000,1,2,1
14000,2,3,1
15000,3,4,1
16000,3,4,1
17000,1,2,1
18000,1,4,1
19000,2,3,1
20000,1,2,1
21000,3,4,1
22000,1,3,1
23000,3,4,1
24000,2,4,1
25000,1,2,1
26000,1,4,1
27000,3,4,1
28000,2,4,1
29000,1,2,1
30000,1,2,1
31000,2,4,1
32000,1,3,1
33000,1,4,0
34000,1,4,1
35000,2,3,1
36000,1,3,1
37000,1,4,1
38000,2,3,1
39000,3,4,1
40000,3,4,1
41000,2,3,1
42000,2,4,1
43000,1,2,1
44000,1,3,1
45000,2,4,1
46000,1,2,1
47000,1,2,0
48000,2,4,1
49000,1,3,0
50000,1,2,1
51000,1,2,1
52000,2,3,0
53000,1,3,0
54000,3,4,1
55000,2,4,1
56000,3,4,1
57000,2,3,1
58000,2,3,1
59000,2,4,1
60000,2,4,0
61000,3,4,0
62000,2,4,0
63000,1,2,1
64000,1,3,1
65000,2,4,0
66000,1,2,1
67000,2,3,1
68000,1,2,1
69000,1,3,1
70000,2,3,1
71000,1,3,0
72000,2,3,1
73000,2,4,0
74000,1,2,1
75000,3,4,0
76000,1,4,0
77000,1,2,1
78000,3,4,1
79000,1,2,1
80000,1,3,0
81000,2,4,1
82000,1,3,0
83000,1,4,1
84000,3,4,1
85000,1,4,0
86000,3,4,0
87000,3,4,1
88000,1,3,0
89000,1,3,0
90000,1,2,1
91000,1,2,1
92000,2,4,1
93000,2,4,1
94000,1,3,1
95000,2,3,1
96000,2,3,1
97000,1,4,1
98000,3,4,0
99000,3,4,0
100000,2,3,1
101000,1,4,0
102000,2,3,1
103000,2,3,1
104000,1,3,1
105000,1,2,1
106000,1,4,1
107000,2,3,1
108000,2,4,0
109000,2,3,1
110000,1,2,1
111000,2,3,1
112000,1,4,1
113000,1,3,1
114000,2,4,1
115000,3,4,1
116000,1,2,1
117000,1,3,1
118000,2,3,1
