"","HIGHER_1","HIGHER_2","extinctOrder.","order","suborder","family","genus","maxAll","minAll","midAll","intLength"
"79","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Saghatherium",33.9,28.1,31,5.8
"80","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Selenohyrax",33.9,28.1,31,5.8
"81","Afrotheria","Placentalia",1,"Ptolemaiida","","Ptolemaiidae","Cleopatrodon",33.9,28.1,31,5.8
"82","Afrotheria","Placentalia",0,"Afrosoricida","","","Qatranilestes",33.9,28.1,31,5.8
"83","Afrotheria","Placentalia",0,"Afrosoricida","","","Widanelfarasia",33.9,28.1,31,5.8
"84","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Crenatosiren",33.9,23.03,28.465,10.87
"85","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Priscosiren",33.9,23.03,28.465,10.87
"86","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Geniohyus",33.9,23.03,28.465,10.87
"87","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Pachyhyrax",33.9,23.03,28.465,10.87
"88","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Thyrohyrax",33.9,23.03,28.465,10.87
"89","Afrotheria","Placentalia",0,"Sirenia","","Trichechidae","Anomotherium",33.9,23.03,28.465,10.87
"90","Afrotheria","Placentalia",1,"Desmostylia","","","Behemotops",33.9,23.03,28.465,10.87
"91","Afrotheria","Placentalia",0,"Proboscidea","","","Eritreum",33.9,23.03,28.465,10.87
"92","Afrotheria","Placentalia",0,"Proboscidea","","","Palaeomastodon",33.9,23.03,28.465,10.87
"93","Afrotheria","Placentalia",1,"Desmostylia","","Desmostylidae","Desmostylus",33.9,2.588,18.244,31.312
"94","Afrotheria","Placentalia",1,"Desmostylia","","Desmostylidae","Cornwallius",30.8,20.43,25.615,10.37
"95","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Caribosiren",28.4,23.03,25.715,5.37
"96","Afrotheria","Placentalia",0,"Proboscidea","","Mammutidae","Losodokodon",28.4,23.03,25.715,5.37
"97","Afrotheria","Placentalia",0,"Hyracoidea","","","Rukwalorax",28.4,23.03,25.715,5.37
"98","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Brachyhyrax",28.4,15.97,22.185,12.43
"99","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Meroehyrax",28.4,15.97,22.185,12.43
"100","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Afrohyrax",28.4,11.62,20.01,16.78
"101","Afrotheria","Placentalia",0,"Proboscidea","","Deinotheriidae","Prodeinotherium",28.4,7.246,17.823,21.154
"102","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Metaxytherium",28.4,2.588,15.494,25.812
"103","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Gomphotherium",28.4,0.0117,14.20585,28.3883
"104","Afrotheria","Placentalia",0,"Proboscidea","","Deinotheriidae","Chilgatherium",28.1,23.03,25.565,5.07
"105","Afrotheria","Placentalia",1,"Desmostylia","","Desmostylidae","Ashoroa",28.1,23.03,25.565,5.07
"106","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Callistosiren",28.1,23.03,25.565,5.07
"107","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Italosiren",28.1,23.03,25.565,5.07
"108","Afrotheria","Placentalia",1,"Desmostylia","","","Seuku",28.1,23.03,25.565,5.07
"109","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Bharatisiren",28.1,20.44,24.27,7.66
"110","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Lentiarenium",28.1,5.333,16.7165,22.767
"111","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Dioplotherium",28.1,3.6,15.85,24.5
"112","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Rhynchocyon",28.1,2.588,15.344,25.512
"113","Afrotheria","Placentalia",0,"Proboscidea","","Mammutidae","Zygolophodon",28.1,2.588,15.344,25.512
"114","Afrotheria","Placentalia",0,"Tubulidentata","","Orycteropodidae","Orycteropus",28.1,0,14.05,28.1
"115","Afrotheria","Placentalia",1,"Desmostylia","","Desmostylidae","Ounalashkastylus",23.03,20.44,21.735,2.59
"116","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Domningia",23.03,20.44,21.735,2.59
"117","Afrotheria","Placentalia",1,"Desmostylia","","Paleoparadoxiidae","Archaeoparadoxia",23.03,20.44,21.735,2.59
"118","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Kutchisiren",23.03,15.97,19.5,7.06
"119","Afrotheria","Placentalia",0,"Afrosoricida","","Chrysochloridae","Prochrysochloris",23.03,11.608,17.319,11.422
"120","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Indosiren",23.03,11.608,17.319,11.422
"121","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Afromastodon",23.03,11.608,17.319,11.422
"122","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Progomphotherium",23.03,11.608,17.319,11.422
"123","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Myohyrax",23.03,11.608,17.319,11.422
"124","Afrotheria","Placentalia",0,"Hyracoidea","","Procaviidae","Prohyrax",23.03,11.608,17.319,11.422
"125","Afrotheria","Placentalia",0,"Afrosoricida","","Tenrecidae","Protenrec",23.03,11.608,17.319,11.422
"126","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Miodugong",23.03,5.333,14.1815,17.697
"127","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Rytiodus",23.03,5.333,14.1815,17.697
"128","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Choerolophodon",23.03,5.333,14.1815,17.697
"129","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Eurybelodon",23.03,5.333,14.1815,17.697
"130","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Gnathabelodon",23.03,5.333,14.1815,17.697
"131","Afrotheria","Placentalia",1,"Desmostylia","","Paleoparadoxiidae","Paleoparadoxia",23.03,5.333,14.1815,17.697
"132","Afrotheria","Placentalia",0,"Sirenia","","Trichechidae","Miosiren",23.03,5.333,14.1815,17.697
"133","Afrotheria","Placentalia",1,"Desmostylia","","","Kronokotherium",23.03,5.333,14.1815,17.697
"134","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Amebelodon",23.03,4.9,13.965,18.13
"135","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Platybelodon",23.03,4.9,13.965,18.13
"136","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Prohalicore",23.03,2.588,12.809,20.442
"137","Afrotheria","Placentalia",0,"Proboscidea","","Elephantidae","Stegotetrabelodon",23.03,2.588,12.809,20.442
"138","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Tetralophodon",23.03,2.588,12.809,20.442
"139","Afrotheria","Placentalia",0,"Proboscidea","","Stegodontidae","Stegolophodon",23.03,2.588,12.809,20.442
"140","Afrotheria","Placentalia",0,"Proboscidea","","Elephantidae","Primelephas",23.03,0.781,11.9055,22.249
"141","Afrotheria","Placentalia",0,"Proboscidea","","Deinotheriidae","Deinotherium",23.03,0.0117,11.52085,23.0183
"142","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Rhynchotherium",23.03,0.0117,11.52085,23.0183
"143","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Stegomastodon",23.03,0.0117,11.52085,23.0183
"144","Afrotheria","Placentalia",0,"Proboscidea","","Elephantidae","Loxodonta",23.03,0,11.515,23.03
"145","Afrotheria","Placentalia",0,"Proboscidea","","Elephantidae","Mammuthus",23.03,0,11.515,23.03
"146","Afrotheria","Placentalia",0,"Proboscidea","","Elephantidae","Stegodon",23.03,0,11.515,23.03
"147","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Anancus",23.03,0,11.515,23.03
"148","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Elephantulus",23.03,0,11.515,23.03
"149","Afrotheria","Placentalia",0,"Proboscidea","","Mammutidae","Mammut",23.03,0,11.515,23.03
"150","Afrotheria","Placentalia",0,"Sirenia","","Trichechinae","Trichechus",23.03,0,11.515,23.03
"151","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Miorhynchocyon",22.4,20,21.2,2.4
"152","Afrotheria","Placentalia",1,"Ptolemaiida","","Kelbidae","Kelba",20.44,15.97,18.205,4.47
"153","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Miosengi",20.44,15.97,18.205,4.47
"154","Afrotheria","Placentalia",0,"Proboscidea","","Amebelodontidae","Protanancus",16.9,11.62,14.26,5.28
"155","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Afrochoerodon",16.9,11.62,14.26,5.28
"156","Afrotheria","Placentalia",0,"Sirenia","","Trichechinae","Potamosiren",16.3,11.608,13.954,4.692
"157","Afrotheria","Placentalia",0,"Proboscidea","","Amebelodontidae","Aphanobelodon",15.97,13.82,14.895,2.15
"158","Afrotheria","Placentalia",1,"Desmostylia","","","Jamilcotatus",15.97,11.62,13.795,4.35
"159","Afrotheria","Placentalia",1,"Desmostylia","","Desmostylidae","Vanderhoofius",15.97,11.608,13.789,4.362
"160","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Dusisiren",15.97,3.6,9.785,12.37
"161","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Nanosiren",15.97,3.6,9.785,12.37
"162","Afrotheria","Placentalia",0,"Tubulidentata","","Orycteropodidae","Myorycteropus",13.82,11.62,12.72,2.2
"163","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Parapliohyrax",13.82,11.62,12.72,2.2
"164","Afrotheria","Placentalia",1,"Desmostylia","","Paleoparadoxiidae","Neoparadoxia",13.82,7.246,10.533,6.574
"165","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Eubelodon",13.6,10.3,11.95,3.3
"166","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Pediolophodon",13.6,10.3,11.95,3.3
"167","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Serbelodon",13.6,4.9,9.25,8.7
"168","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Amahuacatherium",11.62,7.246,9.433,4.374
"169","Afrotheria","Placentalia",0,"Sirenia","","Trichechinae","Ribodon",11.62,5.333,8.4765,6.287
"170","Afrotheria","Placentalia",0,"Proboscidea","","Elephantidae","Stegodibelodon",11.62,2.588,7.104,9.032
"171","Afrotheria","Placentalia",0,"Tubulidentata","","Orycteropodidae","Leptorycteropus",11.62,2.588,7.104,9.032
"172","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Hydrodamalis",11.62,0,5.81,11.62
"173","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Synconolophus",11.608,5.333,8.4705,6.275
"174","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Pliohyrax",11.608,5.333,8.4705,6.275
"175","Afrotheria","Placentalia",0,"Hyracoidea","","Procaviidae","Dendrohyrax",11.608,0,5.804,11.608
"176","Afrotheria","Placentalia",0,"Proboscidea","","Mammutidae","Sinomammut",11.1,0.781,5.9405,10.319
"177","Afrotheria","Placentalia",0,"Hyracoidea","","Procaviidae","Heterohyrax",11.1,0,5.55,11.1
"178","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Xenosiren",10.3,4.9,7.6,5.4
"179","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Corystosiren",10.3,3.6,6.95,6.7
"180","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Cuvieronius",10.3,0,5.15,10.3
"181","Afrotheria","Placentalia",0,"Afrosoricida","","Chrysochloridae","Chrysochloris",7.246,0,3.623,7.246
"182","Afrotheria","Placentalia",0,"Hyracoidea","","Procaviidae","Procavia",7.246,0,3.623,7.246
"183","Afrotheria","Placentalia",0,"Proboscidea","","Elephantidae","Selenetherium",5.333,3.6,4.4665,1.733
"184","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Kvabebihyrax",5.333,2.588,3.9605,2.745
"185","Afrotheria","Placentalia",0,"Afrosoricida","","Chrysochloridae","Chlorotalpa",5.333,0.0117,2.67235,5.3213
"186","Afrotheria","Placentalia",0,"Afrosoricida","","Chrysochloridae","Chrysospalax",5.333,0.0117,2.67235,5.3213
"187","Afrotheria","Placentalia",0,"Macroscelidea","","Macroscelididae","Macroscelides",5.333,0.0117,2.67235,5.3213
"188","Afrotheria","Placentalia",0,"Afrosoricida","","Chrysochloridae","Amblysomus",5.333,0,2.6665,5.333
"189","Afrotheria","Placentalia",0,"Hyracoidea","","Pliohyracidae","Postschizotherium",3.6,2.588,3.094,1.012
"190","Afrotheria","Placentalia",0,"Hyracoidea","","Procaviidae","Gigantohyrax",3.6,2.588,3.094,1.012
"191","Afrotheria","Placentalia",0,"Proboscidea","","","Neodesmostylus",2.588,0.0117,1.29985,2.5763
"192","Afrotheria","Placentalia",0,"Sirenia","","Dugongidae","Dugong",2.588,0,1.294,2.588
"193","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Notiomastodon",2.588,0,1.294,2.588
"194","Afrotheria","Placentalia",0,"Proboscidea","","Gomphotheriidae","Morrillia",1.8,0.3,1.05,1.5
"195","Afrotheria","Placentalia",0,"Afrosoricida","","","Plesiorycteropus",0.126,0,0.063,0.126
"196","Afrotheria","Placentalia",0,"Afrosoricida","","Tenrecidae","Echinops",0.0117,0,0.00585,0.0117
"197","Afrotheria","Placentalia",0,"Afrosoricida","","Tenrecidae","Geogale",0.0117,0,0.00585,0.0117
"198","Afrotheria","Placentalia",0,"Afrosoricida","","Tenrecidae","Microgale",0.0117,0,0.00585,0.0117
"199","Afrotheria","Placentalia",0,"Afrosoricida","","Tenrecidae","Setifer",0.0117,0,0.00585,0.0117
"200","Afrotheria","Placentalia",0,"Afrosoricida","","Tenrecidae","Tenrec",0.0117,0,0.00585,0.0117
"201","Euarchontoglires","Placentalia",1,"","","Adapisoriculidae","Deccanolestes",72.1,66,69.05,6.09999999999999
"202","Euarchontoglires","Placentalia",0,"Primates","","Purgatoriidae","Ursolestes",66,63.3,64.65,2.7
"203","Euarchontoglires","Placentalia",0,"Primates","","","Pandemonium",65.96,65.11,65.535,0.849999999999994
"204","Euarchontoglires","Placentalia",0,"Primates","","","Purgatorius",65.96,65.11,65.535,0.849999999999994
"205","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Anaptogale",66,61.7,63.85,4.3
"206","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Chianshania",66,61.7,63.85,4.3
"207","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Diacronus",66,61.7,63.85,4.3
"208","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Stenanagale",66,61.7,63.85,4.3
"209","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Wanogale",66,61.7,63.85,4.3
"210","Euarchontoglires","Placentalia",1,"Anagalida","","Astigalidae","Astigale",66,61.7,63.85,4.3
"211","Euarchontoglires","Placentalia",1,"Anagalida","","Astigalidae","Zhujegale",66,61.7,63.85,4.3
"212","Euarchontoglires","Placentalia",1,"Anagalida","","Pseudictopidae","Anictops",66,61.7,63.85,4.3
"213","Euarchontoglires","Placentalia",1,"Anagalida","","Pseudictopidae","Cartictops",66,61.7,63.85,4.3
"214","Euarchontoglires","Placentalia",1,"Anagalida","","Pseudictopidae","Paranictops",66,61.7,63.85,4.3
"215","Euarchontoglires","Placentalia",1,"Anagalida","","","Wania",66,61.7,63.85,4.3
"216","Euarchontoglires","Placentalia",1,"","","Adapisoriculidae","Proremiculus",66,61.6,63.8,4.4
"217","Euarchontoglires","Placentalia",0,"Primates","","Picrodontidae","Russellodon",66,61.6,63.8,4.4
"218","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Linnania",66,58.7,62.35,7.3
"219","Euarchontoglires","Placentalia",0,"Glires","","Eurymylidae","Heomys",66,58.7,62.35,7.3
"220","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Huaiyangale",66,55.8,60.9,10.2
"221","Euarchontoglires","Placentalia",1,"Anagalida","","Mingotheriidae","Mingotherium",58.89,57.7,58.295,1.19
"222","Euarchontoglires","Placentalia",0,"Glires","","","Mimotona",66,55.8,60.9,10.2
"223","Euarchontoglires","Placentalia",1,"","","Adapisoriculidae","Bustylus",66,48.6,57.3,17.4
"224","Euarchontoglires","Placentalia",1,"","","Adapisoriculidae","Afrodon",66,47.8,56.9,18.2
"225","Euarchontoglires","Placentalia",0,"Dermoptera","","Mixodectidae","Mixodectes",65.12,60,62.56,5.12
"226","Euarchontoglires","Placentalia",0,"Primates","","Palaechthonidae","Palenochtha",63.39,61.7,62.545,1.69
"227","Euarchontoglires","Placentalia",0,"Primates","","Palaechthonidae","Plesiolestes",63.39,60,61.695,3.39
"228","Euarchontoglires","Placentalia",0,"Primates","","Paromomyidae","Edworthia",63.39,62.5,62.945,0.890000000000001
"229","Euarchontoglires","Placentalia",0,"Dermoptera","","Mixodectidae","Eudaemonema",63.39,57.7,60.545,5.69
"230","Euarchontoglires","Placentalia",0,"Primates","","Picrodontidae","Picrodus",63.39,57.7,60.545,5.69
"231","Euarchontoglires","Placentalia",0,"Primates","","Plesiadapidae","Pronothodectes",63.39,60,61.695,3.39
"232","Euarchontoglires","Placentalia",0,"Dermoptera","","","Elpidophorus",63.39,58.9,61.145,4.49
"233","Euarchontoglires","Placentalia",0,"Primates","","Paromomyidae","Ignacius",63.39,56.5,59.945,6.89
"234","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Eosigale",61.7,58.7,60.2,3
"235","Euarchontoglires","Placentalia",1,"Anagalida","","Anagalidae","Qipania",61.7,58.7,60.2,3
"236","Euarchontoglires","Placentalia",1,"Arctostylopida","","Arctostylopidae","Sinostylops",61.7,58.7,60.2,3
"237","Euarchontoglires","Placentalia",1,"Mixodontia","","Mimolagidae","Mina",61.7,58.7,60.2,3
"238","Euarchontoglires","Placentalia",1,"Anagalida","","Pseudictopidae","Allictops",61.7,58.7,60.2,3
"239","Euarchontoglires","Placentalia",0,"Primates","","Carpolestidae","Carpodaptes",62.1,57.7,59.9,4.4
"240","Euarchontoglires","Placentalia",0,"Primates","","Carpolestidae","Elphidotarsius",63.39,60,61.695,3.39
"241","Euarchontoglires","Placentalia",0,"Primates","","Micromomyidae","Foxomomys",61.7,56.8,59.25,4.90000000000001
