"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.001 0.001 11
"2" 2 0.001 0.002 11
"3" 3 0.001 0.003 13
"4" 4 0.001 0.004 14
"5" 5 0.001 0.005 12
"6" 6 0.001 0.006 10
"7" 7 0.001 0.007 17
"8" 8 0.001 0.008 14
"9" 9 0.001 0.009 10
"10" 10 0.001 0.01 12
"11" 11 0.001 0.011 16
"12" 12 0.001 0.012 23
"13" 13 0.001 0.013 15
"14" 14 0.001 0.014 12
"15" 15 0.001 0.015 18
"16" 16 0.001 0.016 10
"17" 17 0.001 0.017 19
"18" 18 0.001 0.018 16
"19" 19 0.001 0.019 16
"20" 20 0.001 0.02 13
"21" 21 0.001 0.021 17
"22" 22 0.001 0.022 14
"23" 23 0.001 0.023 12
"24" 24 0.001 0.024 15
"25" 25 0.001 0.025 23
"26" 26 0.001 0.026 21
"27" 27 0.001 0.027 21
"28" 28 0.001 0.028 19
"29" 29 0.001 0.029 16
"30" 30 0.001 0.03 12
"31" 31 0.001 0.031 21
"32" 32 0.001 0.032 19
"33" 33 0.001 0.033 18
"34" 34 0.001 0.034 19
"35" 35 0.001 0.035 10
"36" 36 0.001 0.036 16
"37" 37 0.001 0.037 17
"38" 38 0.001 0.038 17
"39" 39 0.001 0.039 16
"40" 40 0.001 0.04 16
"41" 41 0.001 0.041 14
"42" 42 0.001 0.042 16
"43" 43 0.001 0.043 16
"44" 44 0.001 0.044 11
"45" 45 0.001 0.045 15
"46" 46 0.001 0.046 18
"47" 47 0.001 0.047 14
"48" 48 0.001 0.048 10
"49" 49 0.001 0.049 15
"50" 50 0.001 0.05 11
"51" 51 0.001 0.051 14
"52" 52 0.001 0.052 20
"53" 53 0.001 0.053 25
"54" 54 0.001 0.054 14
"55" 55 0.001 0.055 14
"56" 56 0.001 0.056 16
"57" 57 0.001 0.057 14
"58" 58 0.001 0.058 14
"59" 59 0.001 0.059 14
"60" 60 0.001 0.06 14
"61" 61 0.001 0.061 11
"62" 62 0.001 0.062 14
"63" 63 0.001 0.063 10
"64" 64 0.001 0.064 14
"65" 65 0.001 0.065 12
"66" 66 0.001 0.066 13
"67" 67 0.001 0.067 12
"68" 68 0.001 0.068 15
"69" 69 0.001 0.069 15
"70" 70 0.001 0.07 26
"71" 71 0.001 0.071 16
"72" 72 0.001 0.072 14
"73" 73 0.001 0.073 15
"74" 74 0.001 0.074 10
"75" 75 0.001 0.075 13
"76" 76 0.001 0.076 13
"77" 77 0.001 0.077 16
"78" 78 0.001 0.078 19
"79" 79 0.001 0.079 12
"80" 80 0.001 0.08 15
"81" 81 0.001 0.081 11
"82" 82 0.001 0.082 16
"83" 83 0.001 0.083 18
"84" 84 0.001 0.084 16
"85" 85 0.001 0.085 14
"86" 86 0.001 0.086 10
"87" 87 0.001 0.087 16
"88" 88 0.001 0.088 18
"89" 89 0.001 0.089 10
"90" 90 0.001 0.09 12
"91" 91 0.001 0.091 21
"92" 92 0.001 0.092 11
