generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,4,1
3000,3,4,1
4000,2,4,1
5000,2,4,1
6000,3,4,1
7000,3,4,1
8000,1,3,1
9000,3,4,0
10000,1,3,1
11000,2,3,1
12000,1,2,1
13000,1,2,1
14000,2,4,1
15000,3,4,1
16000,3,4,1
17000,1,2,0
18000,2,3,1
19000,1,4,0
20000,2,4,1
21000,1,3,1
22000,1,2,1
23000,1,3,1
24000,3,4,1
25000,2,4,1
26000,2,3,1
27000,1,3,1
28000,3,4,1
29000,2,4,1
30000,2,4,0
31000,2,3,1
32000,1,4,1
33000,3,4,0
34000,3,4,1
35000,1,2,1
36000,1,4,1
37000,3,4,1
38000,1,2,1
39000,1,3,1
40000,1,3,1
41000,1,2,1
42000,2,3,1
43000,2,4,1
44000,1,4,0
45000,2,3,1
46000,1,2,0
47000,1,2,0
48000,1,3,1
49000,2,4,1
50000,1,4,1
51000,1,4,1
52000,1,2,1
53000,1,4,1
54000,3,4,0
55000,2,4,1
56000,3,4,0
57000,2,4,1
58000,2,4,1
59000,2,3,1
60000,2,3,0
61000,3,4,1
62000,2,4,0
63000,1,2,1
64000,1,3,0
65000,2,4,1
66000,3,4,1
67000,1,4,0
68000,1,3,0
69000,1,4,0
70000,1,3,1
71000,1,4,0
72000,1,3,1
73000,2,3,1
74000,2,4,1
75000,1,3,0
76000,3,4,1
77000,2,3,1
78000,1,4,0
79000,2,3,1
80000,3,4,1
81000,1,2,1
82000,3,4,1
83000,1,3,1
84000,1,4,1
85000,1,3,1
86000,3,4,1
87000,3,4,1
88000,1,3,1
89000,1,3,1
90000,1,2,1
91000,1,2,1
92000,2,4,0
93000,2,4,0
94000,1,3,1
95000,2,3,1
96000,2,3,1
97000,1,4,1
98000,3,4,1
99000,3,4,1
100000,2,3,0
101000,1,4,1
102000,2,3,0
103000,2,3,0
104000,2,4,0
105000,2,3,1
106000,1,2,1
107000,3,4,0
108000,1,4,1
109000,1,3,1
110000,1,2,0
111000,2,3,1
112000,1,4,0
113000,3,4,1
114000,1,2,1
115000,1,3,1
116000,2,4,0
117000,2,3,1
118000,3,4,0
